"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2015","89.34","98.72","99.60","88.78","12.47M","-9.51%"
"Nov 01, 2015","98.73","92.87","99.99","92.66","11.53M","6.08%"
"Oct 01, 2015","93.07","90.19","98.05","86.84","15.24M","3.99%"
"Sept 01, 2015","89.50","100.92","105.60","86.60","18.03M","-13.83%"
"Aug 01, 2015","103.87","102.22","106.76","92.84","17.92M","1.57%"
"Jul 01, 2015","102.26","106.22","109.46","97.06","15.06M","-3.48%"
"Jun 01, 2015","105.95","103.97","106.25","101.43","14.39M","1.91%"
"May 01, 2015","103.96","103.44","110.21","102.79","10.96M","0.32%"
"Apr 01, 2015","103.63","104.65","108.52","103.06","11.63M","-0.61%"
"Mar 01, 2015","104.27","115.30","116.81","104.05","14.44M","-9.75%"
"Feb 01, 2015","115.53","107.69","116.65","104.30","11.84M","8.33%"
"Jan 01, 2015","106.65","94.97","108.30","93.09","15.45M","12.60%"
"Dec 01, 2014","94.72","96.71","98.43","90.92","10.55M","-2.77%"
"Nov 01, 2014","97.42","97.45","103.93","95.00","14.42M","-0.41%"
"Oct 01, 2014","97.82","88.48","98.00","82.02","27.67M","9.91%"
"Sept 01, 2014","89.00","94.58","95.10","88.43","12.73M","-5.95%"
"Aug 01, 2014","94.63","90.84","94.95","88.77","13.05M","3.90%"
"Jul 01, 2014","91.08","91.88","92.90","88.08","12.10M","-0.60%"
"Jun 01, 2014","91.63","89.89","94.07","89.42","11.24M","1.94%"
"May 01, 2014","89.89","96.06","96.45","89.04","12.81M","-6.43%"
"Apr 01, 2014","96.07","97.48","97.97","91.40","12.05M","-1.49%"
"Mar 01, 2014","97.52","91.40","97.92","91.40","14.18M","5.68%"
"Feb 01, 2014","92.28","87.77","92.92","84.30","14.71M","5.95%"
"Jan 01, 2014","87.10","91.26","95.79","85.92","15.93M","-4.79%"
"Dec 01, 2013","91.48","90.27","92.92","87.85","15.57M","1.57%"
"Nov 01, 2013","90.07","85.49","91.27","84.75","19.45M","5.57%"
"Oct 01, 2013","85.32","83.88","88.65","81.60","26.78M","1.54%"
"Sept 01, 2013","84.03","86.00","92.64","83.60","16.09M","-2.04%"
"Aug 01, 2013","85.78","85.36","89.99","77.19","23.60M","0.92%"
"Jul 01, 2013","85.00","87.43","93.59","83.78","23.79M","-2.25%"
"Jun 01, 2013","86.96","92.68","92.99","83.33","13.66M","-5.87%"
"May 01, 2013","92.38","91.90","95.28","87.92","25.13M","0.77%"
"Apr 01, 2013","91.67","97.19","98.54","90.10","28.83M","-5.98%"
"Mar 01, 2013","97.50","104.16","107.37","94.87","20.98M","-5.75%"
"Feb 01, 2013","103.45","114.20","114.92","98.99","19.22M","-8.85%"
"Jan 01, 2013","113.49","101.44","115.31","101.29","14.51M","13.64%"
"Dec 01, 2012","99.87","102.96","102.96","97.01","10.61M","-2.11%"
"Nov 01, 2012","102.02","105.20","107.80","92.64","23.03M","-3.34%"
"Oct 01, 2012","105.54","103.72","108.42","102.79","20.07M","2.01%"
"Sept 01, 2012","103.46","98.55","106.10","96.95","16.77M","5.16%"
"Aug 01, 2012","98.38","95.34","101.89","92.40","24.90M","3.60%"
"Jul 01, 2012","94.96","89.11","97.64","87.46","22.27M","7.34%"
"Jun 01, 2012","88.47","76.77","88.87","74.28","22.78M","13.22%"
"May 01, 2012","78.14","87.78","89.35","76.22","26.33M","-11.10%"
"Apr 01, 2012","87.90","86.46","89.25","83.41","13.56M","1.77%"
"Mar 01, 2012","86.37","85.35","89.90","79.85","22.69M","1.42%"
"Feb 01, 2012","85.16","81.24","86.62","80.22","23.61M","6.11%"
"Jan 01, 2012","80.26","68.46","81.59","68.43","25.27M","19.59%"
"Dec 01, 2011","67.11","69.99","72.34","63.39","20.30M","-4.11%"
"Nov 01, 2011","69.99","79.04","82.88","65.68","30.21M","-14.95%"
"Oct 01, 2011","82.29","65.62","85.25","60.15","34.33M","23.45%"
"Sept 01, 2011","66.66","86.01","90.17","66.60","30.62M","-22.45%"
"Aug 01, 2011","85.96","89.07","89.09","74.00","39.64M","-1.63%"
"Jul 01, 2011","87.38","87.49","93.49","85.02","25.82M","-0.43%"
"Jun 01, 2011","87.76","87.18","88.89","79.49","37.40M","-0.34%"
"May 01, 2011","88.06","90.82","91.57","77.98","39.37M","-2.62%"
"Apr 01, 2011","90.43","93.36","96.20","86.40","27.98M","-1.98%"
"Mar 01, 2011","92.26","94.73","97.88","83.85","46.25M","-2.97%"
"Feb 01, 2011","95.08","89.50","99.14","87.12","52.35M","7.57%"
"Jan 01, 2011","88.39","93.45","95.80","84.88","46.58M","-3.66%"
"Dec 01, 2010","91.75","81.55","92.56","79.64","37.50M","14.36%"
"Nov 01, 2010","80.23","89.27","89.69","76.33","41.74M","-9.35%"
"Oct 01, 2010","88.51","75.69","89.16","72.32","39.52M","18.03%"
"Sept 01, 2010","74.99","70.70","78.96","70.20","31.07M","7.79%"
"Aug 01, 2010","69.57","64.00","70.76","62.77","65.88M","10.43%"
"Jul 01, 2010","63.00","48.85","63.46","47.96","41.29M","28.73%"
"Jun 01, 2010","48.94","54.58","55.93","48.83","30.32M","-10.84%"
"May 01, 2010","54.89","62.83","63.24","51.41","41.24M","-12.05%"
"Apr 01, 2010","62.41","71.37","71.45","59.83","37.26M","-11.64%"
"Mar 01, 2010","70.63","65.05","73.85","64.84","47.47M","9.08%"
"Feb 01, 2010","64.75","57.42","67.22","56.85","49.64M","14.91%"
"Jan 01, 2010","56.35","62.33","71.11","56.10","50.13M","-8.37%"
"Dec 01, 2009","61.50","56.78","65.26","56.51","54.31M","10.10%"
"Nov 01, 2009","55.86","47.10","58.58","46.50","52.88M","18.98%"
"Oct 01, 2009","46.95","49.79","57.63","45.98","53.32M","-5.70%"
"Sept 01, 2009","49.79","47.45","54.43","45.48","48.32M","4.36%"
"Aug 01, 2009","47.71","47.47","50.00","45.16","51.41M","3.29%"
"Jul 01, 2009","46.19","40.46","46.50","35.27","72.38M","15.79%"
"Jun 01, 2009","39.89","50.77","51.16","38.86","92.95M","-18.96%"
"May 01, 2009","49.22","43.61","53.70","43.45","90.79M","14.41%"
