"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2010","36.83","40.04","40.04","34.75","387.57M","-7.42%"
"Mar 01, 2010","39.78","37.20","42.81","36.89","408.14M","8.04%"
"Feb 01, 2010","36.82","33.60","38.65","33.04","378.01M","11.17%"
"Jan 01, 2010","33.12","36.94","42.16","32.76","456.57M","-8.43%"
"Dec 01, 2009","36.17","38.09","41.37","35.00","505.78M","-3.47%"
"Nov 01, 2009","37.47","31.16","39.35","30.10","375.33M","21.14%"
"Oct 01, 2009","30.93","30.12","35.29","27.92","482.06M","2.72%"
"Sept 01, 2009","30.11","29.44","32.90","28.55","425.50M","2.07%"
"Aug 01, 2009","29.50","31.72","34.10","29.25","385.10M","-4.84%"
"Jul 01, 2009","31.00","31.51","32.58","26.95","638.95M","-0.06%"
"Jun 01, 2009","31.02","39.61","40.45","29.07","592.87M","-19.66%"
"May 01, 2009","38.61","28.96","39.44","28.96","551.49M","33.92%"
"Apr 01, 2009","28.83","26.63","30.00","25.71","437.74M","7.02%"
"Mar 01, 2009","26.94","27.26","30.67","21.22","867.14M","-3.75%"
"Feb 01, 2009","27.99","24.46","31.82","24.00","798.42M","12.18%"
"Jan 01, 2009","24.95","24.89","29.05","21.64","686.98M","2.21%"
"Dec 01, 2008","24.41","19.95","27.66","15.85","756.76M","18.78%"
"Nov 01, 2008","20.55","28.67","31.66","18.27","913.41M","-27.69%"
"Oct 01, 2008","28.42","43.83","44.48","20.13","1.79B","-35.41%"
"Sept 01, 2008","44.00","55.48","61.63","42.16","1.01B","-23.97%"
"Aug 01, 2008","57.87","69.07","69.66","52.32","654.54M","-15.01%"
"Jul 01, 2008","68.09","74.91","76.65","62.28","685.08M","-10.63%"
"Jun 01, 2008","76.19","66.41","80.54","65.87","647.09M","14.81%"
"May 01, 2008","66.36","61.06","70.00","58.33","618.14M","8.22%"
"Apr 01, 2008","61.32","52.33","71.99","50.15","825.02M","18.52%"
"Mar 01, 2008","51.74","52.71","55.00","45.50","509.77M","-2.32%"
"Feb 01, 2008","52.97","47.10","55.47","43.76","416.20M","12.87%"
"Jan 01, 2008","46.93","48.83","50.81","35.17","518.23M","-2.21%"
"Dec 01, 2007","47.99","40.34","50.63","39.97","205.22M","20.10%"
"Nov 01, 2007","39.96","40.46","42.25","34.35","233.04M","-2.39%"
